nen3610id,code,syntax_aantaldoorstroomopeningen,syntax_afslagpeil,syntax_afvoercoefficient,syntax_breedteopening,syntax_categorie,syntax_code,syntax_created_date,syntax_detailniveaugeometrie,syntax_drempelpeil,syntax_featuretype,syntax_filteruitstroming,syntax_functiegemaal,syntax_globalid,syntax_hyperlink,syntax_indicatiewaterkerend,syntax_kerendehoogte,syntax_last_edited_date,syntax_lvpublicatiedatum,syntax_maximalecapaciteit,syntax_metadataid,syntax_naam,syntax_namespace,syntax_nen3610id,syntax_objectid,syntax_ontwerpbuitenwaterstand,syntax_openingspeil,syntax_openkeerpeil,syntax_opmerking,syntax_richting,syntax_signaleringspeil,syntax_sluitpeil,syntax_statusleggerwatersysteem,syntax_statusleggerwaterveiligheid,syntax_statusobject,syntax_typewaterkerendeconstructie,syntax_waterkeringid,syntax_geometry,syntax_oordeel,general_000_pomp_aantal_pompen,general_001_pomp_capaciteit,validate_000_aantal_pompen_gt_0,validate_001_capaciteit_gt_0,validate_002_geen_overlap,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.12.GEMAAL.KGM-Q-29307,KGM-Q-29307,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29311,KGM-Q-29311,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29306,KGM-Q-29306,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29308,KGM-Q-29308,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29310,KGM-Q-29310,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,nee -> NULL (fouten: 6),nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29309,KGM-Q-29309,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-N-51,KGM-N-51,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29305,KGM-Q-29305,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29346,KGM-Q-29346,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-JH-5084,KGM-JH-5084,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-JH-5085,KGM-JH-5085,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-N-255,KGM-N-255,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29345,KGM-Q-29345,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-OH-128,KGM-OH-128,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-CB-2829,KGM-CB-2829,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,nee -> NULL (fouten: 6),nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29303,KGM-Q-29303,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29343,KGM-Q-29343,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-CB-2940,KGM-CB-2940,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,nee -> NULL (fouten: 6),nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29342,KGM-Q-29342,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29341,KGM-Q-29341,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29282,KGM-Q-29282,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-20393,KGM-Q-20393,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,afvoergemaal -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29292,KGM-Q-29292,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-JH-5076,KGM-JH-5076,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-20394,KGM-Q-20394,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,afvoergemaal -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-20395,KGM-Q-20395,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,afvoergemaal -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
