soil type;rootzone thickness (cm);groundwater level (meter below surface);root zone soil moisture storage in equilibrium conditions (mm);potential capillary rise (mm/day);storage coefficient (m/m)
7;50;2;38.9;0.411;0.218
7;50;2.1;37;0.321;0.222
7;50;2.2;35.2;0.254;0.227
7;50;2.3;33.7;0.204;0.23
7;50;2.4;32.3;0.165;0.234
7;50;2.5;30.9;0.135;0.237
7;50;3;25.9;0.056;0.249
7;50;4;19.8;0.015;0.263
7;50;5;16.2;0.005;0.27
7;50;10;10;0;0.284
7;60;0;182.4;5;0.01
7;60;0.1;181.9;5;0.01
7;60;0.2;180.5;5;0.01
7;60;0.3;177;5;0.01
7;60;0.4;171;5;0.01
7;60;0.5;162.5;5;0.01
7;60;0.6;151.7;5;0.01
7;60;0.7;139.4;5;0.014
7;60;0.8;126.3;5;0.035
7;60;0.9;113.9;5;0.06
7;60;1;102.7;5;0.085
7;60;1.1;92.9;5;0.108
7;60;1.2;84.6;5;0.128
7;60;1.3;77.4;5;0.145
7;60;1.4;71.3;3.852;0.159
7;60;1.5;66;2.61;0.172
7;60;1.6;61.4;1.817;0.182
7;60;1.7;57.4;1.297;0.192
7;60;1.8;53.9;0.946;0.199
7;60;1.9;50.8;0.704;0.206
7;60;2;48.1;0.533;0.212
7;60;2.1;45.6;0.411;0.218
7;60;2.2;43.4;0.321;0.222
7;60;2.3;41.4;0.254;0.227
7;60;2.4;39.6;0.204;0.23
7;60;2.5;38;0.165;0.234
7;60;3;31.6;0.066;0.247
7;60;4;24;0.016;0.262
7;60;5;19.7;0.006;0.27
7;60;10;12.1;0;0.283
7;70;0;212.8;5;0.01
7;70;0.1;212.3;5;0.01
7;70;0.2;210.9;5;0.01
7;70;0.3;207.4;5;0.01
7;70;0.4;201.4;5;0.01
7;70;0.5;192.9;5;0.01
7;70;0.6;182.1;5;0.01
7;70;0.7;169.3;5;0.01
7;70;0.8;155.3;5;0.014
7;70;0.9;140.8;5;0.035
7;70;1;127.1;5;0.06
7;70;1.1;114.8;5;0.085
7;70;1.2;104.2;5;0.108
7;70;1.3;95;5;0.128
7;70;1.4;87.2;5;0.145
7;70;1.5;80.5;3.852;0.159
7;70;1.6;74.6;2.61;0.172
7;70;1.7;69.6;1.817;0.182
7;70;1.8;65.2;1.297;0.192
7;70;1.9;61.3;0.946;0.199
7;70;2;57.9;0.704;0.206
7;70;2.1;54.8;0.533;0.212
7;70;2.2;52;0.411;0.218
7;70;2.3;49.6;0.321;0.222
7;70;2.4;47.4;0.254;0.227
7;70;2.5;45.3;0.204;0.23
7;70;3;37.5;0.078;0.245
7;70;4;28.4;0.019;0.26
7;70;5;23.2;0.007;0.269
7;70;10;14.2;0;0.283
7;80;0;243.2;5;0.01
7;80;0.1;242.7;5;0.01
7;80;0.2;241.3;5;0.01
7;80;0.3;237.8;5;0.01
7;80;0.4;231.8;5;0.01
7;80;0.5;223.3;5;0.01
7;80;0.6;212.5;5;0.01
7;80;0.7;199.7;5;0.01
7;80;0.8;185.2;5;0.01
7;80;0.9;169.7;5;0.014
7;80;1;154;5;0.035
7;80;1.1;139.2;5;0.06
7;80;1.2;126.1;5;0.085
7;80;1.3;114.7;5;0.108
7;80;1.4;104.8;5;0.128
7;80;1.5;96.4;5;0.145
7;80;1.6;89.1;3.852;0.159
7;80;1.7;82.8;2.61;0.172
7;80;1.8;77.3;1.817;0.182
7;80;1.9;72.5;1.297;0.192
7;80;2;68.3;0.946;0.199
7;80;2.1;64.6;0.704;0.206
7;80;2.2;61.2;0.533;0.212
7;80;2.3;58.2;0.411;0.218
7;80;2.4;55.5;0.321;0.222
7;80;2.5;53.1;0.254;0.227
7;80;3;43.7;0.093;0.242
7;80;4;32.8;0.021;0.259
7;80;5;26.8;0.007;0.268
7;80;10;16.2;0;0.283
7;90;0;273.6;5;0.01
7;90;0.1;273.1;5;0.01
7;90;0.2;271.7;5;0.01
7;90;0.3;268.2;5;0.01
7;90;0.4;262.2;5;0.01
7;90;0.5;253.7;5;0.01
7;90;0.6;242.9;5;0.01
7;90;0.7;230.1;5;0.01
7;90;0.8;215.6;5;0.01
7;90;0.9;199.7;5;0.01
7;90;1;182.9;5;0.014
7;90;1.1;166.1;5;0.035
7;90;1.2;150.5;5;0.06
7;90;1.3;136.5;5;0.085
7;90;1.4;124.4;5;0.108
7;90;1.5;114;5;0.128
7;90;1.6;105;5;0.145
7;90;1.7;97.3;3.852;0.159
7;90;1.8;90.5;2.61;0.172
7;90;1.9;84.7;1.817;0.182
7;90;2;79.6;1.297;0.192
7;90;2.1;75;0.946;0.199
7;90;2.2;71;0.704;0.206
7;90;2.3;67.4;0.533;0.212
7;90;2.4;64.2;0.411;0.218
7;90;2.5;61.2;0.321;0.222
7;90;3;50.1;0.111;0.24
7;90;4;37.4;0.024;0.258
7;90;5;30.4;0.008;0.268
7;90;10;18.3;0;0.283
7;100;0;304;5;0.01
7;100;0.1;303.5;5;0.01
7;100;0.2;302.1;5;0.01
7;100;0.3;298.6;5;0.01
7;100;0.4;292.6;5;0.01
7;100;0.5;284.1;5;0.01
7;100;0.6;273.3;5;0.01
7;100;0.7;260.5;5;0.01
7;100;0.8;246;5;0.01
7;100;0.9;230.1;5;0.01
7;100;1;212.9;5;0.01
7;100;1.1;195.1;5;0.014
7;100;1.2;177.4;5;0.035
7;100;1.3;160.9;5;0.06
7;100;1.4;146.3;5;0.085
7;100;1.5;133.6;5;0.108
7;100;1.6;122.6;5;0.128
7;100;1.7;113.2;5;0.145
7;100;1.8;105;3.852;0.159
7;100;1.9;97.9;2.61;0.172
7;100;2;91.7;1.817;0.182
7;100;2.1;86.3;1.297;0.192
7;100;2.2;81.4;0.946;0.199
7;100;2.3;77.2;0.704;0.206
7;100;2.4;73.3;0.533;0.212
7;100;2.5;69.9;0.411;0.218
7;100;3;56.8;0.135;0.237
7;100;4;42.1;0.027;0.257
7;100;5;34.1;0.009;0.267
7;100;10;20.4;0;0.283
8;10;0;34.4;5;0.01
8;10;0.1;33.8;5;0.01
8;10;0.2;32.1;5;0.023
8;10;0.3;30.2;5;0.042
8;10;0.4;28.3;5;0.056
8;10;0.5;26.6;5;0.069
8;10;0.6;25.1;5;0.092
8;10;0.7;23.9;5;0.108
8;10;0.8;22.7;5;0.128
8;10;0.9;21.7;3.806;0.146
8;10;1;20.8;2.881;0.161
8;10;1.1;20;2.202;0.174
8;10;1.2;19.3;1.695;0.185
8;10;1.3;18.7;1.307;0.193
8;10;1.4;18.1;1.015;0.203
8;10;1.5;17.6;0.79;0.21
8;10;1.6;17.1;0.619;0.216
8;10;1.7;16.6;0.487;0.221
8;10;1.8;16.2;0.386;0.226
8;10;1.9;15.8;0.309;0.23
8;10;2;15.4;0.248;0.234
8;10;2.1;15.1;0.201;0.237
8;10;2.2;14.8;0.164;0.24
8;10;2.3;14.5;0.136;0.243
8;10;2.4;14.2;0.113;0.246
8;10;2.5;14;0.094;0.248
8;10;3;12.8;0.042;0.257
8;10;4;11.2;0.012;0.268
8;10;5;10.1;0.005;0.274
8;10;10;7.4;0;0.285
8;20;0;68.8;5;0.01
8;20;0.1;68.2;5;0.01
8;20;0.2;65.9;5;0.01
8;20;0.3;62.3;5;0.022
8;20;0.4;58.5;5;0.037
8;20;0.5;54.9;5;0.052
8;20;0.6;51.8;5;0.076
8;20;0.7;49;5;0.095
8;20;0.8;46.6;5;0.117
8;20;0.9;44.4;5;0.136
8;20;1;42.5;4.252;0.152
8;20;1.1;40.9;3.094;0.166
8;20;1.2;39.3;2.27;0.178
8;20;1.3;38;1.675;0.187
8;20;1.4;36.8;1.248;0.197
8;20;1.5;35.6;0.939;0.205
8;20;1.6;34.6;0.713;0.211
8;20;1.7;33.7;0.548;0.217
8;20;1.8;32.8;0.426;0.222
8;20;1.9;32;0.335;0.226
8;20;2;31.2;0.266;0.231
8;20;2.1;30.5;0.214;0.234
8;20;2.2;29.9;0.173;0.237
8;20;2.3;29.3;0.142;0.24
8;20;2.4;28.7;0.117;0.243
8;20;2.5;28.2;0.097;0.245
8;20;3;25.9;0.043;0.255
8;20;4;22.6;0.012;0.266
8;20;5;20.4;0.005;0.273
8;20;10;14.9;0;0.284
8;30;0;103.2;5;0.01
8;30;0.1;102.6;5;0.01
8;30;0.2;100.3;5;0.01
8;30;0.3;96.1;5;0.01
8;30;0.4;90.6;5;0.017
8;30;0.5;85.1;5;0.034
8;30;0.6;80.1;5;0.058
8;30;0.7;75.6;5;0.081
8;30;0.8;71.7;5;0.104
8;30;0.9;68.3;5;0.124
8;30;1;65.3;5;0.142
8;30;1.1;62.6;4.326;0.157
8;30;1.2;60.2;2.956;0.17
8;30;1.3;58;2.062;0.181
8;30;1.4;56.1;1.469;0.191
8;30;1.5;54.3;1.069;0.199
8;30;1.6;52.7;0.791;0.206
8;30;1.7;51.2;0.597;0.212
8;30;1.8;49.9;0.457;0.217
8;30;1.9;48.6;0.355;0.222
8;30;2;47.4;0.28;0.227
8;30;2.1;46.3;0.224;0.23
8;30;2.2;45.3;0.18;0.234
8;30;2.3;44.4;0.147;0.237
8;30;2.4;43.5;0.121;0.24
8;30;2.5;42.7;0.1;0.243
8;30;3;39.1;0.044;0.253
8;30;4;34.1;0.012;0.265
8;30;5;30.7;0.005;0.272
8;30;10;22.4;0;0.284
8;40;0;135.6;5;0.01
8;40;0.1;135;5;0.01
8;40;0.2;132.7;5;0.01
8;40;0.3;128.5;5;0.01
8;40;0.4;122.4;5;0.01
8;40;0.5;115.6;5;0.014
8;40;0.6;108.7;5;0.035
8;40;0.7;102.1;5;0.06
8;40;0.8;96.1;5;0.085
8;40;0.9;90.8;5;0.108
8;40;1;86.1;5;0.128
8;40;1.1;81.9;5;0.145
8;40;1.2;78.3;3.852;0.159
8;40;1.3;75.1;2.61;0.172
8;40;1.4;72.2;1.817;0.182
8;40;1.5;69.6;1.297;0.192
8;40;1.6;67.3;0.946;0.199
8;40;1.7;65.2;0.704;0.206
8;40;1.8;63.2;0.533;0.212
8;40;1.9;61.5;0.411;0.218
8;40;2;59.8;0.321;0.222
8;40;2.1;58.3;0.254;0.227
8;40;2.2;56.9;0.204;0.23
8;40;2.3;55.6;0.165;0.234
8;40;2.4;54.4;0.135;0.237
8;40;2.5;53.3;0.111;0.24
8;40;3;48.5;0.048;0.251
8;40;4;41.9;0.013;0.264
8;40;5;37.6;0.005;0.271
8;40;10;27.2;0;0.284
8;50;0;166;5;0.01
8;50;0.1;165.4;5;0.01
8;50;0.2;163.1;5;0.01
8;50;0.3;158.9;5;0.01
8;50;0.4;152.8;5;0.01
8;50;0.5;145.6;5;0.01
8;50;0.6;137.6;5;0.014
8;50;0.7;129;5;0.035
8;50;0.8;120.5;5;0.06
8;50;0.9;112.7;5;0.085
8;50;1;105.7;5;0.108
8;50;1.1;99.6;5;0.128
8;50;1.2;94.2;5;0.145
8;50;1.3;89.5;3.852;0.159
8;50;1.4;85.4;2.61;0.172
8;50;1.5;81.8;1.817;0.182
8;50;1.6;78.5;1.297;0.192
8;50;1.7;75.6;0.946;0.199
8;50;1.8;73;0.704;0.206
8;50;1.9;70.6;0.533;0.212
8;50;2;68.5;0.411;0.218
8;50;2.1;66.5;0.321;0.222
8;50;2.2;64.7;0.254;0.227
8;50;2.3;63;0.204;0.23
8;50;2.4;61.4;0.165;0.234
8;50;2.5;60;0.135;0.237
8;50;3;54;0.056;0.249
8;50;4;46.1;0.015;0.263
8;50;5;40.9;0.005;0.27
8;50;10;29.2;0;0.284
8;60;0;196.4;5;0.01
8;60;0.1;195.8;5;0.01
8;60;0.2;193.5;5;0.01
8;60;0.3;189.3;5;0.01
8;60;0.4;183.2;5;0.01
8;60;0.5;176;5;0.01
8;60;0.6;167.6;5;0.01
8;60;0.7;157.9;5;0.014
8;60;0.8;147.4;5;0.035
8;60;0.9;137;5;0.06
8;60;1;127.6;5;0.085
8;60;1.1;119.2;5;0.108
8;60;1.2;111.8;5;0.128
8;60;1.3;105.4;5;0.145
8;60;1.4;99.9;3.852;0.159
8;60;1.5;95;2.61;0.172
8;60;1.6;90.7;1.817;0.182
8;60;1.7;86.9;1.297;0.192
8;60;1.8;83.5;0.946;0.199
8;60;1.9;80.4;0.704;0.206
8;60;2;77.6;0.533;0.212
8;60;2.1;75.1;0.411;0.218
8;60;2.2;72.8;0.321;0.222
8;60;2.3;70.7;0.254;0.227
8;60;2.4;68.8;0.204;0.23
8;60;2.5;67;0.165;0.234
8;60;3;59.7;0.066;0.247
8;60;4;50.3;0.016;0.262
8;60;5;44.4;0.006;0.27
8;60;10;31.2;0;0.283
8;70;0;226.8;5;0.01
8;70;0.1;226.2;5;0.01
8;70;0.2;223.9;5;0.01
8;70;0.3;219.7;5;0.01
8;70;0.4;213.6;5;0.01
8;70;0.5;206.4;5;0.01
8;70;0.6;198;5;0.01
8;70;0.7;187.9;5;0.01
8;70;0.8;176.3;5;0.014
8;70;0.9;163.9;5;0.035
8;70;1;152;5;0.06
8;70;1.1;141.1;5;0.085
8;70;1.2;131.4;5;0.108
8;70;1.3;123;5;0.128
8;70;1.4;115.8;5;0.145
8;70;1.5;109.4;3.852;0.159
8;70;1.6;103.9;2.61;0.172
8;70;1.7;99;1.817;0.182
8;70;1.8;94.7;1.297;0.192
8;70;1.9;90.8;0.946;0.199
8;70;2;87.4;0.704;0.206
8;70;2.1;84.3;0.533;0.212
8;70;2.2;81.5;0.411;0.218
8;70;2.3;78.9;0.321;0.222
8;70;2.4;76.5;0.254;0.227
8;70;2.5;74.4;0.204;0.23
8;70;3;65.7;0.078;0.245
8;70;4;54.7;0.019;0.26
8;70;5;47.9;0.007;0.269
8;70;10;33.3;0;0.283
8;80;0;257.2;5;0.01
8;80;0.1;256.6;5;0.01
8;80;0.2;254.3;5;0.01
8;80;0.3;250.1;5;0.01
8;80;0.4;244;5;0.01
8;80;0.5;236.8;5;0.01
8;80;0.6;228.4;5;0.01
8;80;0.7;218.3;5;0.01
8;80;0.8;206.3;5;0.01
8;80;0.9;192.9;5;0.014
8;80;1;178.9;5;0.035
8;80;1.1;165.4;5;0.06
8;80;1.2;153.3;5;0.085
8;80;1.3;142.7;5;0.108
8;80;1.4;133.4;5;0.128
8;80;1.5;125.3;5;0.145
8;80;1.6;118.3;3.852;0.159
8;80;1.7;112.2;2.61;0.172
8;80;1.8;106.9;1.817;0.182
8;80;1.9;102.1;1.297;0.192
8;80;2;97.9;0.946;0.199
8;80;2.1;94;0.704;0.206
8;80;2.2;90.6;0.533;0.212
8;80;2.3;87.5;0.411;0.218
8;80;2.4;84.7;0.321;0.222
8;80;2.5;82.1;0.254;0.227
8;80;3;71.8;0.093;0.242
8;80;4;59.1;0.021;0.259
8;80;5;51.4;0.007;0.268
8;80;10;35.4;0;0.283
8;90;0;287.6;5;0.01
8;90;0.1;287;5;0.01
8;90;0.2;284.7;5;0.01
8;90;0.3;280.5;5;0.01
8;90;0.4;274.4;5;0.01
8;90;0.5;267.2;5;0.01
8;90;0.6;258.8;5;0.01
8;90;0.7;248.7;5;0.01
8;90;0.8;236.7;5;0.01
8;90;0.9;222.8;5;0.01
8;90;1;207.8;5;0.014
8;90;1.1;192.3;5;0.035
8;90;1.2;177.7;5;0.06
8;90;1.3;164.5;5;0.085
8;90;1.4;153;5;0.108
8;90;1.5;143;5;0.128
8;90;1.6;134.3;5;0.145
8;90;1.7;126.7;3.852;0.159
8;90;1.8;120.1;2.61;0.172
8;90;1.9;114.2;1.817;0.182
8;90;2;109.1;1.297;0.192
8;90;2.1;104.5;0.946;0.199
8;90;2.2;100.4;0.704;0.206
8;90;2.3;96.7;0.533;0.212
8;90;2.4;93.3;0.411;0.218
8;90;2.5;90.3;0.321;0.222
8;90;3;78.3;0.111;0.24
8;90;4;63.7;0.024;0.258
8;90;5;55.1;0.008;0.268
8;90;10;37.5;0;0.283
8;100;0;318;5;0.01
8;100;0.1;317.4;5;0.01
8;100;0.2;315.1;5;0.01
8;100;0.3;310.9;5;0.01
8;100;0.4;304.8;5;0.01
8;100;0.5;297.6;5;0.01
8;100;0.6;289.2;5;0.01
8;100;0.7;279.1;5;0.01
8;100;0.8;267.1;5;0.01
8;100;0.9;253.2;5;0.01
8;100;1;237.8;5;0.01
8;100;1.1;221.3;5;0.014
8;100;1.2;204.6;5;0.035
8;100;1.3;188.9;5;0.06
8;100;1.4;174.9;5;0.085
8;100;1.5;162.6;5;0.108
8;100;1.6;151.9;5;0.128
8;100;1.7;142.6;5;0.145
8;100;1.8;134.5;3.852;0.159
8;100;1.9;127.5;2.61;0.172
8;100;2;121.3;1.817;0.182
8;100;2.1;115.7;1.297;0.192
8;100;2.2;110.9;0.946;0.199
8;100;2.3;106.4;0.704;0.206
8;100;2.4;102.5;0.533;0.212
8;100;2.5;98.9;0.411;0.218
8;100;3;85;0.135;0.237
8;100;4;68.4;0.027;0.257
8;100;5;58.8;0.009;0.267
8;100;10;39.6;0;0.283
9;10;0;34.4;5;0.01
9;10;0.1;33.8;5;0.01
9;10;0.2;32.4;5;0.02
9;10;0.3;30.5;5;0.039
9;10;0.4;28.6;5;0.058
9;10;0.5;26.9;5;0.074
9;10;0.6;25.4;5;0.086
9;10;0.7;24.1;5;0.098
9;10;0.8;22.9;4.958;0.121
9;10;0.9;21.8;3.885;0.132
9;10;1;20.9;3.105;0.149
9;10;1.1;20;2.515;0.165
9;10;1.2;19.3;2.055;0.178
9;10;1.3;18.6;1.684;0.189
9;10;1.4;18;1.378;0.199
9;10;1.5;17.4;1.128;0.204
9;10;1.6;16.9;0.918;0.215
9;10;1.7;16.4;0.743;0.221
9;10;1.8;16;0.599;0.226
9;10;1.9;15.6;0.481;0.231
9;10;2;15.2;0.387;0.235
9;10;2.1;14.8;0.312;0.238
9;10;2.2;14.5;0.252;0.242
9;10;2.3;14.2;0.205;0.244
9;10;2.4;13.9;0.168;0.247
9;10;2.5;13.6;0.138;0.249
9;10;3;12.4;0.058;0.258
9;10;4;10.8;0.015;0.269
9;10;5;9.7;0.005;0.275
9;10;10;6.9;0;0.285
9;20;0;68.8;5;0.01
9;20;0.1;68.2;5;0.01
9;20;0.2;66.2;5;0.01
9;20;0.3;62.9;5;0.02
9;20;0.4;59.1;5;0.039
9;20;0.5;55.6;5;0.057
9;20;0.6;52.4;5;0.071
9;20;0.7;49.5;5;0.084
9;20;0.8;46.9;5;0.108
9;20;0.9;44.7;5;0.121
9;20;1;42.7;4.215;0.14
9;20;1.1;40.9;3.347;0.156
9;20;1.2;39.3;2.676;0.17
9;20;1.3;37.9;2.143;0.183
9;20;1.4;36.6;1.711;0.193
9;20;1.5;35.4;1.359;0.199
9;20;1.6;34.3;1.074;0.21
9;20;1.7;33.3;0.846;0.216
9;20;1.8;32.4;0.665;0.222
9;20;1.9;31.5;0.523;0.227
9;20;2;30.7;0.413;0.231
9;20;2.1;30;0.328;0.235
9;20;2.2;29.3;0.263;0.238
9;20;2.3;28.7;0.212;0.241
9;20;2.4;28.1;0.173;0.244
9;20;2.5;27.5;0.141;0.246
9;20;3;25.1;0.059;0.256
9;20;4;21.7;0.015;0.267
9;20;5;19.4;0.006;0.274
9;20;10;13.9;0;0.285
9;30;0;103.2;5;0.01
9;30;0.1;102.6;5;0.01
9;30;0.2;100.6;5;0.01
9;30;0.3;96.7;5;0.01
9;30;0.4;91.5;5;0.02
9;30;0.5;86.1;5;0.039
9;30;0.6;81;5;0.054
9;30;0.7;76.4;5;0.069
9;30;0.8;72.4;5;0.093
9;30;0.9;68.8;5;0.109
9;30;1;65.6;5;0.129
9;30;1.1;62.7;4.677;0.147
9;30;1.2;60.2;3.62;0.162
9;30;1.3;57.9;2.791;0.175
9;30;1.4;55.9;2.142;0.186
9;30;1.5;54;1.638;0.194
9;30;1.6;52.3;1.247;0.204
9;30;1.7;50.7;0.95;0.211
9;30;1.8;49.3;0.727;0.217
9;30;1.9;47.9;0.56;0.222
9;30;2;46.7;0.436;0.227
9;30;2.1;45.6;0.342;0.231
9;30;2.2;44.5;0.272;0.235
9;30;2.3;43.5;0.218;0.238
9;30;2.4;42.6;0.176;0.241
9;30;2.5;41.7;0.144;0.244
9;30;3;38;0.059;0.254
9;30;4;32.8;0.015;0.266
9;30;5;29.3;0.006;0.273
9;30;10;20.8;0;0.284
9;40;0;137.6;5;0.01
9;40;0.1;137;5;0.01
9;40;0.2;135;5;0.01
9;40;0.3;131.1;5;0.01
9;40;0.4;125.3;5;0.01
9;40;0.5;118.4;5;0.02
9;40;0.6;111.5;5;0.035
9;40;0.7;105.1;5;0.052
9;40;0.8;99.3;5;0.076
9;40;0.9;94.2;5;0.096
9;40;1;89.6;5;0.117
9;40;1.1;85.6;5;0.136
9;40;1.2;82;5;0.153
9;40;1.3;78.8;3.683;0.167
9;40;1.4;75.9;2.662;0.179
9;40;1.5;73.3;1.928;0.188
9;40;1.6;70.9;1.407;0.198
9;40;1.7;68.7;1.038;0.205
9;40;1.8;66.7;0.776;0.212
9;40;1.9;64.8;0.588;0.217
9;40;2;63.1;0.453;0.222
9;40;2.1;61.5;0.353;0.227
9;40;2.2;60.1;0.278;0.231
9;40;2.3;58.7;0.222;0.234
9;40;2.4;57.4;0.18;0.238
9;40;2.5;56.2;0.146;0.24
9;40;3;51.1;0.06;0.252
9;40;4;44;0.016;0.265
9;40;5;39.2;0.006;0.272
9;40;10;27.9;0;0.284
9;50;0;172;5;0.01
9;50;0.1;171.4;5;0.01
9;50;0.2;169.4;5;0.01
9;50;0.3;165.5;5;0.01
9;50;0.4;159.7;5;0.01
9;50;0.5;152.3;5;0.01
9;50;0.6;143.9;5;0.017
9;50;0.7;135.6;5;0.033
9;50;0.8;127.9;5;0.058
9;50;0.9;121.1;5;0.081
9;50;1;115;5;0.104
9;50;1.1;109.7;5;0.125
9;50;1.2;104.9;5;0.142
9;50;1.3;100.6;4.564;0.158
9;50;1.4;96.8;3.083;0.17
9;50;1.5;93.3;2.132;0.181
9;50;1.6;90.2;1.51;0.191
9;50;1.7;87.3;1.092;0.199
9;50;1.8;84.7;0.806;0.206
9;50;1.9;82.2;0.607;0.212
9;50;2;80;0.464;0.218
9;50;2.1;77.9;0.36;0.222
9;50;2.2;76;0.283;0.227
9;50;2.3;74.2;0.226;0.231
9;50;2.4;72.6;0.182;0.234
9;50;2.5;71;0.148;0.237
9;50;3;64.4;0.061;0.249
9;50;4;55.4;0.016;0.263
9;50;5;49.3;0.006;0.271
9;50;10;34.9;0;0.284
9;60;0;204.4;5;0.01
9;60;0.1;203.8;5;0.01
9;60;0.2;201.8;5;0.01
9;60;0.3;197.9;5;0.01
9;60;0.4;192.1;5;0.01
9;60;0.5;184.7;5;0.01
9;60;0.6;175.7;5;0.01
9;60;0.7;166.2;5;0.014
9;60;0.8;156.7;5;0.035
9;60;0.9;147.7;5;0.06
9;60;1;139.6;5;0.085
9;60;1.1;132.3;5;0.108
9;60;1.2;125.8;5;0.128
9;60;1.3;120.1;5;0.145
9;60;1.4;114.9;3.852;0.159
9;60;1.5;110.4;2.61;0.172
9;60;1.6;106.3;1.817;0.182
9;60;1.7;102.6;1.297;0.192
9;60;1.8;99.2;0.946;0.199
9;60;1.9;96.1;0.704;0.206
9;60;2;93.3;0.533;0.212
9;60;2.1;90.7;0.411;0.218
9;60;2.2;88.3;0.321;0.222
9;60;2.3;86.1;0.254;0.227
9;60;2.4;84;0.204;0.23
9;60;2.5;82.1;0.165;0.234
9;60;3;74.1;0.066;0.247
9;60;4;63.2;0.016;0.262
9;60;5;56.1;0.006;0.27
9;60;10;39.5;0;0.283
9;70;0;234.8;5;0.01
9;70;0.1;234.2;5;0.01
9;70;0.2;232.2;5;0.01
9;70;0.3;228.3;5;0.01
9;70;0.4;222.5;5;0.01
9;70;0.5;215.1;5;0.01
9;70;0.6;206.1;5;0.01
9;70;0.7;196.2;5;0.01
9;70;0.8;185.7;5;0.014
9;70;0.9;174.6;5;0.035
9;70;1;164;5;0.06
9;70;1.1;154.2;5;0.085
9;70;1.2;145.4;5;0.108
9;70;1.3;137.7;5;0.128
9;70;1.4;130.9;5;0.145
9;70;1.5;124.8;3.852;0.159
9;70;1.6;119.5;2.61;0.172
9;70;1.7;114.7;1.817;0.182
9;70;1.8;110.4;1.297;0.192
9;70;1.9;106.6;0.946;0.199
9;70;2;103.1;0.704;0.206
9;70;2.1;99.9;0.533;0.212
9;70;2.2;97;0.411;0.218
9;70;2.3;94.3;0.321;0.222
9;70;2.4;91.8;0.254;0.227
9;70;2.5;89.5;0.204;0.23
9;70;3;80;0.078;0.245
9;70;4;67.6;0.019;0.26
9;70;5;59.6;0.007;0.269
9;70;10;41.5;0;0.283
9;80;0;265.2;5;0.01
9;80;0.1;264.6;5;0.01
9;80;0.2;262.6;5;0.01
9;80;0.3;258.7;5;0.01
9;80;0.4;252.9;5;0.01
9;80;0.5;245.5;5;0.01
9;80;0.6;236.5;5;0.01
9;80;0.7;226.6;5;0.01
9;80;0.8;215.6;5;0.01
9;80;0.9;203.6;5;0.014
9;80;1;190.8;5;0.035
9;80;1.1;178.6;5;0.06
9;80;1.2;167.3;5;0.085
9;80;1.3;157.3;5;0.108
9;80;1.4;148.5;5;0.128
9;80;1.5;140.7;5;0.145
9;80;1.6;133.9;3.852;0.159
9;80;1.7;127.9;2.61;0.172
9;80;1.8;122.6;1.817;0.182
9;80;1.9;117.8;1.297;0.192
9;80;2;113.5;0.946;0.199
9;80;2.1;109.7;0.704;0.206
9;80;2.2;106.1;0.533;0.212
9;80;2.3;102.9;0.411;0.218
9;80;2.4;99.9;0.321;0.222
9;80;2.5;97.2;0.254;0.227
9;80;3;86.2;0.093;0.242
9;80;4;72.1;0.021;0.259
9;80;5;63.2;0.007;0.268
9;80;10;43.6;0;0.283
9;90;0;295.6;5;0.01
9;90;0.1;295;5;0.01
9;90;0.2;293;5;0.01
9;90;0.3;289.1;5;0.01
9;90;0.4;283.3;5;0.01
9;90;0.5;275.9;5;0.01
9;90;0.6;266.9;5;0.01
9;90;0.7;257;5;0.01
9;90;0.8;246;5;0.01
9;90;0.9;233.5;5;0.01
9;90;1;219.8;5;0.014
9;90;1.1;205.4;5;0.035
9;90;1.2;191.7;5;0.06
9;90;1.3;179.2;5;0.085
9;90;1.4;168.1;5;0.108
9;90;1.5;158.4;5;0.128
9;90;1.6;149.8;5;0.145
9;90;1.7;142.4;3.852;0.159
9;90;1.8;135.8;2.61;0.172
9;90;1.9;130;1.817;0.182
9;90;2;124.8;1.297;0.192
9;90;2.1;120.1;0.946;0.199
9;90;2.2;115.9;0.704;0.206
9;90;2.3;112.1;0.533;0.212
9;90;2.4;108.6;0.411;0.218
9;90;2.5;105.4;0.321;0.222
9;90;3;92.6;0.111;0.24
9;90;4;76.6;0.024;0.258
9;90;5;66.8;0.008;0.268
9;90;10;45.7;0;0.283
9;100;0;326;5;0.01
9;100;0.1;325.4;5;0.01
9;100;0.2;323.4;5;0.01
9;100;0.3;319.5;5;0.01
9;100;0.4;313.7;5;0.01
9;100;0.5;306.3;5;0.01
9;100;0.6;297.3;5;0.01
9;100;0.7;287.4;5;0.01
9;100;0.8;276.4;5;0.01
9;100;0.9;263.9;5;0.01
9;100;1;249.8;5;0.01
9;100;1.1;234.4;5;0.014
9;100;1.2;218.6;5;0.035
9;100;1.3;203.6;5;0.06
9;100;1.4;190;5;0.085
9;100;1.5;178;5;0.108
9;100;1.6;167.5;5;0.128
9;100;1.7;158.3;5;0.145
9;100;1.8;150.3;3.852;0.159
9;100;1.9;143.2;2.61;0.172
9;100;2;136.9;1.817;0.182
9;100;2.1;131.4;1.297;0.192
9;100;2.2;126.3;0.946;0.199
9;100;2.3;121.8;0.704;0.206
9;100;2.4;117.7;0.533;0.212
9;100;2.5;114;0.411;0.218
9;100;3;99.3;0.135;0.237
9;100;4;81.4;0.027;0.257
9;100;5;70.5;0.009;0.267
