,bron,laag,id,type_functie,naam,beschrijving
0,hhnk,duikersifonhevel,1,fix rules,hoogtebinnenonderkantbov,Fix relative to laagste streefpeil
1,hhnk,duikersifonhevel,2,fix rules,hoogtebinnenonderkantbene,hoogtebinnenonderkantbov - 50
2,hhnk,duikersifonhevel,3,fix rules,hoogteopening,hoogte gelijk aan breedte als valide
3,hhnk,duikersifonhevel,4,fix rules,hoogteopening,"if duikersifonhevel in primair watersysteem: hoogteopening = 0.8m, anders hoogteopening = 0.5m"
4,hhnk,duikersifonhevel,5,fix rules,breedteopening,"if duikersifonhevel in primair watersysteem: breedteopening = 0.8m, anders breedteopening = 0.5m"
5,hhnk,duikersifonhevel,6,fix rules,hoogteopening,hoogte gelijk aan breedte als valide wanneer vormkoker rond is
